Règne,Embranchement,Classe,Ordre,Famille,Genre,Espèce,Nom latin,name,Image_URL,Zone,Vulnerability
Animal,Chordé vertébré,Reptile,Squamate,Agamidae,Intellagama,lesueurii,intellagama lesueurii,agame aquatique,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-dragon-d-eau-australien.jpg,Océanie.,Least Concern
Animal,Chordé vertébré,Reptile,Squamate,Agamidae,Pogona,vitticeps,pogona vitticeps,agame barbu,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-dragon-barbu-central-1.jpg,Océanie,Least Concern
Animal,Chordé vertébré,Oiseaux,Accipitriforme,Accipitridé,Haliaeetus,leucocephalus,haliaeetus leucocephalus,aigle a tete blanche,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-pygargue-a-tete-blanche.jpg,Amérique du Nord,Least Concern
Animal,Chordé vertébré,Oiseaux,Accipitriforme,Accipitridé,Aquila,audax,aquila audax,aigle australien,https://www.monde-animal.fr/wp-content/uploads/2020/07/fiche-animale-monde-animal-aigle-australien-d-australie.jpg,Texte non trouvé,Least Concern
Animal,Chordé vertébré,Oiseaux,Accipitriforme,Accipitridae,Harpia,harpya,harpia harpya,aigle harpie,https://www.monde-animal.fr/wp-content/uploads/2020/10/fiche-animale-monde-animal-harpie-feroce.jpg,Texte non trouvé,Aucun résultat
Animal,Chordé vertébré,Reptilia,Crocodilia,,Alligator,mississippiensis,alligator mississippiensis,alligator,https://www.monde-animal.fr/wp-content/uploads/2020/12/fiche-animale-monde-animal-alligator-d-amerique-mississipiensis.jpg,Amérique du Sud,Aucun résultat
Animal,Chordé vertébré,Amphibien,Caudata,Ambystomatidae,Ambystoma,maculatum,ambystoma maculatum,ambystome macule,https://www.monde-animal.fr/wp-content/uploads/2020/11/fiche-animale-monde-animal-salamandre-maculée.jpg,Amérique du Nord,Least Concern
Animal,Chordé vertébré,Amphibien,Caudata,Ambystomatidae,Ambystoma,opacum,ambystoma opacum,ambystome marbre,https://www.monde-animal.fr/wp-content/uploads/2020/11/fiche-animale-monde-animal-salamandre-marbrée.jpg,Amérique du Nord,Least Concern
Animal,Chordé vertébré,Amphibien,Caudata,Ambystomatidae,Ambystoma,tigrinum,ambystoma tigrinum,ambystome tigre,https://www.monde-animal.fr/wp-content/uploads/2020/11/fiche-animale-monde-animal-salamandre-tigree.jpg,Amérique du Nord,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Cétartiodactyle,Antilocapridé,Antilocapra,americana,antilocapra americana,antilocapre,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-pronghorn.jpg,Amérique du Nord,Aucun résultat
Animal,Chordé vertébré,Mammifère placentaire,Cetartiodactyle ruminant,Bovidae antilopinae,Antilope,cervicapra,antilope cervicapra,antilope cervicapre,https://www.monde-animal.fr/wp-content/uploads/2021/09/fiche-animale-monde-animal-antilope-cervicapre-antilope-cervicapra.jpg,Amérique du Nord,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle ruminant,Bovidé antilopiné,Saiga,tatarica,saiga tatarica,antilope saiga,https://www.monde-animal.fr/wp-content/uploads/2020/07/fiche-animale-monde-animal-saiga.jpg,Texte non trouvé,Least Concern
Animal,Chordé vertébré,Aves,Psittaciformes,Psittacidae,Ara,ararauna,ara ararauna,ara bleu,https://www.monde-animal.fr/wp-content/uploads/2020/06/fiche-animale-monde-animal-ara-bleu-1.jpg,Texte non trouvé,Least Concern
Animal,Chordé vertébré,Aves,Psittaciformes,Psittacidae,Anodorhynchus,hyacinthinus,anodorhynchus hyacinthinus,ara hyacinthe,https://www.monde-animal.fr/wp-content/uploads/2020/06/fiche-animale-monde-animal-ara-hyacinthe.jpg,Asie,Least Concern
Animal,Chordé vertébré,Aves,Psittaciformes,Psittacidae,Ara,macao,ara macao,ara rouge,https://www.monde-animal.fr/wp-content/uploads/2020/06/fiche-animale-monde-animal-ara-rouge.jpg,Amérique du Sud ,Least Concern
Animal,Chordé vertébré,Aves,Struthioniforme,Struthionidae,Struthio,camelus,struthio camelus,autruche d'afrique,https://www.monde-animal.fr/wp-content/uploads/2020/04/fiche-animale-monde-animal-autruche-afrique.jpg,Amérique du Sud,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Primates,Cercopithecidae,Papio,anubis,papio anubis,babouin anubis,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-babouin-olive.jpg, Amérique du Sud,Aucun résultat
Animal,Chordé vertébré,Mammifère placentaire,Primates,Cercopithecidae,Papio,ursinus,papio ursinus,babouin chacma,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-babouin-chacma.jpg,Afrique,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Primates,Cercopithecidae,Papio,cynocephalus,papio cynocephalus,babouin cynocephale,https://www.monde-animal.fr/wp-content/uploads/2021/02/fiche-animale-monde-animal-babouin-jaune-2.jpg,nord de l’Afrique Subsaharienne,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Primates,Cercopithecidae,Papio,papio,papio papio,babouin de guinee,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-babouin-de-guinée.jpg,sud de l’Afrique,Endangered
Animal,Chordé vertébré,Mammifère placentaire,Primates,Cercopithecidae,Papio,hamadryas,papio hamadryas,babouin hamadryas,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-babouin-hamadryas.jpg,Afrique de l’Est,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Cétartiodactyle cétacé mysticète,Balenopteridae,Megaptera,novaeangliae,megaptera novaeangliae,baleine a bosse,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-baleine-a-bosse.jpg,Afrique de l’Est,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Cétacé mysticète,Balaenopteridae,Balaenoptera,musculus,balaenoptera musculus,baleine bleue,https://www.monde-animal.fr/wp-content/uploads/2020/05/fiche-animale-monde-animal-baleine-bleue.jpg,nord de l’Afrique Subsaharienne,Least Concern
Animal,Chordé vertébré,Reptile lépidosaurien,,Corytophanidae,Basiliscus,plumifrons,basiliscus plumifrons,basilic vert,https://www.monde-animal.fr/wp-content/uploads/2020/05/basilic-vert-basiliscus-plumifrons.jpg,Océan Atlantique,Near Threatened
Animal,Chordé vertébré,Aves,Pelecaniforme,Balaenicipitidae,Balaeniceps,rex,balaeniceps rex,bec-en-sabot du nil,https://www.monde-animal.fr/wp-content/uploads/2021/02/fiche-animale-monde-animal-bec-en-sabot-du-nil-balaeniceps.jpg,océan Atlantique,Near Threatened
Animal,Chordé vertébré,Mammifère placentaire,Carnivore caniforme,Mustélidae,Mustela,nivalis,mustela nivalis,belette,https://www.monde-animal.fr/wp-content/uploads/2020/11/fiche-animale-monde-animal-belette-d-europe.jpg,Amérique du Sud,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Cétacé,Monodontidae,Delphinapterus,leucas,delphinapterus leucas,beluga,https://www.monde-animal.fr/wp-content/uploads/2020/04/fiche-animale-monde-animal-beluga-1.jpg,Europe,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle ruminant,Cervidae capreolinae,Odocoileus,virginianus,odocoileus virginianus,biche des paletuviers,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-cerf-de-virginie.jpg,Europe,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle ruminant,Bovidé boviné,Bison,bison,bison bison,bison d'amerique du nord,https://www.monde-animal.fr/wp-content/uploads/2021/02/fiche-animale-monde-animal-bison-amerique-du-nord-bison-bison.jpg,océan Arctique,Near Threatened
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle ruminant,Bovidé boviné,Bison,bonasus,bison bonasus,bison d'europe,https://www.monde-animal.fr/wp-content/uploads/2020/03/fiche-animale-monde-animal-bison-d-europe.jpg,Amérique du Nord,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Carnivore caniforme,Mustelidae,Meles,meles,meles meles,blaireau europeen,https://www.monde-animal.fr/wp-content/uploads/2020/07/fiche-animale-monde-animal-blaireau-europeen.jpg, Amérique du Nord,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle ruminant,Bovidae,Ovibos,moschatus,ovibos moschatus,boeuf musque,https://www.monde-animal.fr/wp-content/uploads/2021/06/fiche-animale-monde-animal-boeuf-musque.jpg,Eurasie,Vulnerable
Animal,Chordé vertébré,Mammalia,Primates,Hominidae,Pan,paniscus,pan paniscus,bonobo,https://www.monde-animal.fr/wp-content/uploads/2020/12/fiche-animale-monde-animal-bonobo.jpg,Europe,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle ruminant,Bovidé capriné,Capra,ibex,capra ibex,bouquetin des alpes,https://www.monde-animal.fr/wp-content/uploads/2020/07/fiche-animale-monde-animal-bouquetin-des-alpes.jpg,Texte non trouvé,Lower Risk/conservation dependent
Animal,Chordé vertébré,Mammalia,Cetartiodactyla,,Alcelaphus,buselaphus,alcelaphus buselaphus,bubale roux,https://www.monde-animal.fr/wp-content/uploads/2021/02/fiche-animale-monde-animal-bubale-roux.jpg,Afrique,Vulnerable
Animal,Chordé vertébré,Mammifère placentaire,Artiodactyle ruminant,Bovidé boviné,Syncerus,caffer,syncerus caffer,buffle d'afrique,https://www.monde-animal.fr/wp-content/uploads/2021/02/fiche-animale-monde-animal-buffle-d-afrique-syncerus-caffer.jpg,Europe,Vulnerable
Animal,Chordé vertébré,Oiseaux,Psittaciformes,Cacatuidae,Cacatua,galerita,cacatua galerita,cacatoes a huppe jaune,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-cacatoes-a-huppe-jaune.jpg,Afrique,Vulnerable
Animal,Chordé vertébré,Oiseaux,Psittaciformes,Cacatuidae,Eolophus,roseicapilla,eolophus roseicapilla,cacatoes rosalbin,https://www.monde-animal.fr/wp-content/uploads/2020/09/fiche-animale-monde-animal-cacatoes-rosalbin.jpg, de l’Afrique,Least Concern
Animal,Chordé vertébré,Mammifère placentaire,Cetacea odontoceti,Physeteridae,Physeter,macrocephalus,physeter macrocephalus,cachalot,https://www.monde-animal.fr/wp-content/uploads/2020/11/fiche-animale-monde-animal-grand-cachalot.jpg,Océanie,Least Concern
Animal,Chordé vertébré,Reptile archosauromorphe,Crocodilien,Alligatoridae caimaninae,Caiman,crocodilus,caiman crocodilus,caiman a lunettes,https://www.monde-animal.fr/wp-content/uploads/2020/06/fiche-animale-monde-animal-caiman-à-lunettes.jpg,Atlantique,Least Concern
Animal,Chordé vertébré,Reptile archosauromorphe,Crocodilien,Alligatoridae caimaninae,Melanosuchus,niger,melanosuchus niger,caiman noir,https://www.monde-animal.fr/wp-content/uploads/2020/06/fiche-animale-monde-animal-caiman-noir.jpg,Atlantique,Least Concern
